Date,State Code,County Code,AQI,CO,DP,NO2,PM10,PM2.5,RH,SO2,TEMP,WD,WS
2016-01-01,6,19,133,0.5081246666666667,1010.5930555,13.6591306,41.0,37.23506941666667,72.83333350000001,0.1037265,40.895833333333336,206.07708316666665,1.9298611666666667
2016-01-02,6,19,130,0.4179626666666666,1008.1131943333334,14.7419762,38.0,35.80473033333333,70.854167,0.1375,45.54166666666666,168.87361116666668,1.5548609999999998
2016-01-03,6,19,101,0.4274985,1002.1027776666666,15.132174,30.0,29.66018522222222,66.64583350000001,0.0854165,48.84027783333334,201.2694445,1.7618056666666666
2016-01-04,6,19,110,0.469116,999.2765398333332,15.842292400000002,33.666666666666664,31.735606000000004,73.47916649999999,0.119565,47.329710166666665,131.69463366666665,2.3430555
2016-01-05,6,19,67,0.2595355,998.2402776666668,9.8133748,10.333333333333334,12.307870222222222,85.22916649999999,0.0020835,50.42361133333333,159.27152783333332,4.2756945
2016-01-06,6,19,35,0.1872625,999.7694445,5.436166,4.0,3.798148111111111,83.375,0.0,48.3333335,131.86041666666668,6.192361166666667
2016-01-07,6,19,37,0.2074176666666666,1003.6743058333332,7.212085400000001,5.666666666666667,4.313817454545455,82.02083350000001,0.0,47.47222200000001,193.3409721666667,3.1333331666666666
2016-01-08,6,19,60,0.3046678333333333,1009.611111,9.812174,13.0,11.946336555555556,94.4375,0.0,42.277778,174.25277766666667,2.448611
2016-01-09,6,19,56,0.2690391666666666,1011.5159721666668,7.2537682,9.0,9.801851888888889,80.666667,0.0,48.0833335,132.92708333333334,2.8013888333333337
2016-01-10,6,19,64,0.319981,1013.0680556666666,9.8547826,14.0,13.379629555555557,80.47916649999999,0.0,50.22916683333333,209.18611116666668,1.8493056666666667
2016-01-11,6,19,66,0.4468913333333333,1016.6999998333334,12.807075,17.333333333333332,13.97361111111111,80.333333,0.0765155,49.3125,157.579861,1.7763886666666666
2016-01-12,6,19,83,0.4024818333333333,1013.813889,12.8417392,23.666666666666668,22.45553722222222,84.1875,0.0270835,46.26388883333333,146.9,2.779166666666667
2016-01-13,6,19,63,0.2639083333333333,1011.3584721666666,8.6113044,14.5,10.4973008,66.354167,0.0518635,53.09722233333333,166.10694433333333,3.309722333333333
2016-01-14,6,19,60,0.2516373333333333,1010.2800002,9.4973912,15.0,12.892261857142858,90.02083350000001,0.0,46.3055555,166.06597216666668,3.307638666666667
2016-01-15,6,19,64,0.3388948333333333,1008.9097462,9.889328,17.666666666666668,12.472916625,73.85416649999999,0.0338505,52.6180555,155.00655183333333,2.481672833333333
2016-01-16,6,19,65,0.3598364999999999,1012.4016666,10.0098418,16.666666666666668,13.016666636363636,76.208333,0.01875,53.00694466666666,125.71041666666667,2.079166666666667
2016-01-17,6,19,68,0.3355293333333333,1010.89,7.134782800000001,16.0,16.67268511111111,78.3125,0.0875,53.06944433333334,120.54444466666666,2.8916665
2016-01-18,6,19,52,0.267576,1010.8049998,6.3878262,7.666666666666667,7.653341333333333,84.9375,0.0496895,54.8541665,120.62638883333334,2.7423611666666665
2016-01-19,6,19,54,0.2995565,1009.9646666,7.3362842,6.833333333333333,6.968317222222222,90.041667,0.0,54.48333333333333,112.3469445,3.947222333333334
2016-01-20,6,19,54,0.3379131666666666,1013.4108334,8.495496,11.0,8.072279,83.958333,0.002174,54.57083333333333,210.41847985714284,2.068031285714286
2016-01-21,6,19,66,0.3667063333333333,1011.4291668,9.1973122,16.666666666666668,13.636979125,92.125,0.0166665,51.49305533333334,121.12916657142856,2.6113094285714284
2016-01-22,6,19,54,0.3289686666666666,1007.8525002,8.7156524,10.666666666666666,8.07685188888889,71.89583350000001,0.0431675,54.48611116666667,126.60892842857142,3.875595142857143
2016-01-23,6,19,48,0.2333478333333333,1007.9216666,3.6114362,6.666666666666667,5.216666571428571,78.85416649999999,0.0,54.0833335,243.5113095714285,4.335714285714286
2016-01-24,6,19,54,0.2915675,1011.85,6.4895652,10.666666666666666,9.163095285714286,83.8125,0.0041665,48.812500166666666,213.84015142857143,2.833063
2016-01-25,6,19,74,0.4932365,1013.9575002,12.362320666666667,23.8,17.440019727272727,83.5625,0.031061,48.59027799999999,177.23392857142858,2.098452285714285
2016-01-26,6,19,67,0.4477886666666666,1016.2341668,13.157970833333332,20.33333333333333,12.6747412,72.66666649999999,0.0395835,51.4305555,134.75773828571428,1.861904571428572
2016-01-27,6,19,71,0.5216193333333333,1016.1516664,15.486187,23.33333333333333,15.739393909090907,78.254529,0.1360245,50.228562833333335,172.12678585714283,2.052355142857143
2016-01-28,6,19,91,0.5010051666666667,1014.4308334,12.2480236,30.0,25.462179538461537,83.0,0.1041665,49.18055566666666,138.80196714285714,2.386231714285714
2016-01-29,6,19,111,0.458645,1010.7399274,13.417075,39.66666666666666,32.603030272727274,75.89583350000001,0.16118,53.823973333333335,126.84572685714284,2.337221285714286
2016-01-30,6,19,63,0.3494596666666666,1005.9027778,9.530309833333334,16.0,12.956060636363638,80.1875,0.00625,52.712962833333336,187.776389,3.1555554285714287
2016-01-31,6,19,36,0.2794981666666666,998.7072915,4.8000605,4.166666666666667,3.1733974615384617,84.52083350000001,0.0,46.8083334,272.9472221666667,5.783333166666666
2016-02-01,6,19,42,0.2871685,1008.5814912,8.748987,5.0,4.336742454545455,70.625,0.0,44.122807,210.7794172857143,5.254479857142857
2016-02-02,6,19,67,0.435231,1014.5883336,14.709519166666666,14.0,11.612121272727272,73.08333350000001,0.1708335,41.89583316666667,135.05773814285715,2.5059524285714287
